Datum,Bundesland,Fallzahl,Todeszahl,Fallzahl_neu,Todeszahl_neu
2020-03-04,Brandenburg,1,0,0,0
2020-03-05,Brandenburg,1,0,0,0
2020-03-06,Brandenburg,2,0,1,0
2020-03-07,Brandenburg,2,0,0,0
2020-03-08,Brandenburg,4,0,2,0
2020-03-09,Brandenburg,6,0,2,0
2020-03-10,Brandenburg,9,0,3,0
2020-03-11,Brandenburg,24,0,15,0
2020-03-12,Brandenburg,30,0,6,0
2020-03-13,Brandenburg,44,0,14,0
2020-03-14,Brandenburg,61,0,17,0
2020-03-15,Brandenburg,84,0,23,0
2020-03-16,Brandenburg,94,0,10,0
2020-03-17,Brandenburg,73,0,-21,0
2020-03-18,Brandenburg,92,0,19,0
2020-03-19,Brandenburg,134,0,42,0
2020-03-20,Brandenburg,254,0,120,0
2020-03-21,Brandenburg,254,0,0,0
2020-03-22,Brandenburg,274,0,20,0
2020-03-23,Brandenburg,288,0,14,0
2020-03-24,Brandenburg,343,0,55,0
2020-03-25,Brandenburg,429,1,86,1
2020-03-26,Brandenburg,477,1,48,0
2020-03-27,Brandenburg,537,1,60,0
2020-03-28,Brandenburg,645,1,108,0
2020-03-29,Brandenburg,721,1,76,0
2020-03-04,Berlin,7,0,4,0
2020-03-05,Berlin,13,0,6,0
2020-03-06,Berlin,19,0,6,0
2020-03-07,Berlin,28,0,9,0
2020-03-08,Berlin,40,0,12,0
2020-03-09,Berlin,48,0,8,0
2020-03-10,Berlin,48,0,0,0
2020-03-11,Berlin,90,0,42,0
2020-03-12,Berlin,137,0,47,0
2020-03-13,Berlin,174,0,37,0
2020-03-14,Berlin,216,0,42,0
2020-03-15,Berlin,265,0,49,0
2020-03-16,Berlin,300,0,35,0
2020-03-17,Berlin,345,0,45,0
2020-03-18,Berlin,391,0,46,0
2020-03-19,Berlin,573,0,182,0
2020-03-20,Berlin,866,1,293,1
2020-03-21,Berlin,866,1,0,0
2020-03-22,Berlin,1024,1,158,0
2020-03-23,Berlin,1077,1,53,0
2020-03-24,Berlin,1220,1,143,0
2020-03-25,Berlin,1428,2,208,1
2020-03-26,Berlin,1656,4,228,2
2020-03-27,Berlin,1955,8,299,4
2020-03-28,Berlin,2161,8,206,0
2020-03-29,Berlin,2360,9,199,1
2020-03-04,Baden-Württemberg,50,0,22,0
2020-03-05,Baden-Württemberg,73,0,23,0
2020-03-06,Baden-Württemberg,96,0,23,0
2020-03-07,Baden-Württemberg,170,0,74,0
2020-03-08,Baden-Württemberg,182,0,12,0
2020-03-09,Baden-Württemberg,204,0,22,0
2020-03-10,Baden-Württemberg,237,0,33,0
2020-03-11,Baden-Württemberg,277,0,40,0
2020-03-12,Baden-Württemberg,454,0,177,0
2020-03-13,Baden-Württemberg,454,0,0,0
2020-03-14,Baden-Württemberg,569,0,115,0
2020-03-15,Baden-Württemberg,827,0,258,0
2020-03-16,Baden-Württemberg,1105,0,278,0
2020-03-17,Baden-Württemberg,1479,2,374,2
2020-03-18,Baden-Württemberg,1609,2,130,0
2020-03-19,Baden-Württemberg,2155,6,546,4
2020-03-20,Baden-Württemberg,3668,16,1513,10
2020-03-21,Baden-Württemberg,3668,16,0,0
2020-03-22,Baden-Württemberg,3807,21,139,5
2020-03-23,Baden-Württemberg,3811,21,4,0
2020-03-24,Baden-Württemberg,5348,30,1537,9
2020-03-25,Baden-Württemberg,6069,37,721,7
2020-03-26,Baden-Württemberg,7283,56,1214,19
2020-03-27,Baden-Württemberg,8161,70,878,14
2020-03-28,Baden-Württemberg,9781,101,1620,31
2020-03-29,Baden-Württemberg,9794,101,13,0
2020-03-04,Bayern,48,0,11,0
2020-03-05,Bayern,70,0,22,0
2020-03-06,Bayern,117,0,47,0
2020-03-07,Bayern,134,0,17,0
2020-03-08,Bayern,172,0,38,0
2020-03-09,Bayern,256,0,84,0
2020-03-10,Bayern,314,0,58,0
2020-03-11,Bayern,366,0,52,0
2020-03-12,Bayern,500,0,134,0
2020-03-13,Bayern,558,0,58,0
2020-03-14,Bayern,681,0,123,0
2020-03-15,Bayern,886,0,205,0
2020-03-16,Bayern,1067,0,181,0
2020-03-17,Bayern,1109,4,42,4
2020-03-18,Bayern,1243,4,134,0
2020-03-19,Bayern,1692,8,449,4
2020-03-20,Bayern,2960,19,1268,11
2020-03-21,Bayern,2960,19,0,0
2020-03-22,Bayern,3650,21,690,2
2020-03-23,Bayern,4892,26,1242,5
2020-03-24,Bayern,5754,30,862,4
2020-03-25,Bayern,6558,37,804,7
2020-03-26,Bayern,7993,47,1435,10
2020-03-27,Bayern,9481,55,1488,8
2020-03-28,Bayern,11150,77,1669,22
2020-03-29,Bayern,12881,107,1731,30
2020-03-04,Bremen,3,0,1,0
2020-03-05,Bremen,3,0,0,0
2020-03-06,Bremen,4,0,1,0
2020-03-07,Bremen,4,0,0,0
2020-03-08,Bremen,4,0,0,0
2020-03-09,Bremen,4,0,0,0
2020-03-10,Bremen,4,0,0,0
2020-03-11,Bremen,21,0,17,0
2020-03-12,Bremen,38,0,17,0
2020-03-13,Bremen,42,0,4,0
2020-03-14,Bremen,50,0,8,0
2020-03-15,Bremen,53,0,3,0
2020-03-16,Bremen,56,0,3,0
2020-03-17,Bremen,57,0,1,0
2020-03-18,Bremen,69,0,12,0
2020-03-19,Bremen,80,0,11,0
2020-03-20,Bremen,142,0,62,0
2020-03-21,Bremen,142,0,0,0
2020-03-22,Bremen,165,0,23,0
2020-03-23,Bremen,170,0,5,0
2020-03-24,Bremen,183,0,13,0
2020-03-25,Bremen,200,0,17,0
2020-03-26,Bremen,211,1,11,1
2020-03-27,Bremen,241,1,30,0
2020-03-28,Bremen,260,2,19,1
2020-03-29,Bremen,275,2,15,0
2020-03-04,Hessen,12,0,0,0
2020-03-05,Hessen,14,0,2,0
2020-03-06,Hessen,16,0,2,0
2020-03-07,Hessen,17,0,1,0
2020-03-08,Hessen,19,0,2,0
2020-03-09,Hessen,26,0,7,0
2020-03-10,Hessen,35,0,9,0
2020-03-11,Hessen,48,0,13,0
2020-03-12,Hessen,99,0,51,0
2020-03-13,Hessen,148,0,49,0
2020-03-14,Hessen,203,0,55,0
2020-03-15,Hessen,286,0,83,0
2020-03-16,Hessen,342,0,56,0
2020-03-17,Hessen,373,0,31,0
2020-03-18,Hessen,432,0,59,0
2020-03-19,Hessen,682,0,250,0
2020-03-20,Hessen,1080,2,398,2
